,Job Title,Company Name,City,Region,Workplace Type,Work Type,Experience,Company Size,Industry,Job Description,Job Link,Industry_cleaned,Company_Size_cleaned,Job_Title_cleaned,Job_Title_cleaned2,Years_exp,liststring,Job_skills
116,Informatieanalyst,Sociale Verzekeringsbank,Amstelveen, North Holland,On-site,Full-time,Mid-Senior level,"1,001-5,000 employees",Government Administration,"""3 redenen waarom dit jouw baan is jij doet het in deze functie draait het allemaal om het proces rondom de uitbetaling van het pgb en de optimalisatie van het systeem dat dit mogelijk maakt, treks genaamd. heb je een passie voor het optimaal laten functioneren van een software systeem en heb je daarbij gebruikersvriendelijkheid hoog in het vaandel staan? dan is deze functie echt iets voor jou! jij bent het we zoeken een enthousiaste collega die ervaring heeft met probleem- en veranderingsanalyse. vanzelfsprekend zijn je analytische vaardigheden sterk ontwikkeld en je hebt een sterk conceptueel werk- en denkvermogen. je bent verder veranderingsgezind, communicatief sterk en creatief in het bedenken van oplossingen. je durft hierbij tegen de stroom in te gaan. je hebt kennis van de processen waarmee we pgb en andere sociale wetten uitvoeren. je hebt ervaring als informatieanalist of business analist of je hebt aantoonbare domein- / proceskennis van pgb. je hebt ervaring met of bent bekend met agile werken je bent bereid om jezelf continu te ontwikkelen welke kansen bieden we jou? kansen en mogelijkheden om te groeien als persoon en als professional zijn er genoeg. aan jou de taak om ze te pakken. bovendien kan jij (op basis van een 36-urige werkweek) ook rekenen op een modern arbeidsvoorwaardenpakket dat gericht is op eigen regie en keuzevrijheid: een bruto maandsalaris tot maximaal â‚¬ 4.658,- euro een individueel keuzebudget (ikb) bestaande uit 8% vakantie-uitkering en 8,33% eindejaarsuitkering. je kiest zelf wanneer je jouw ikb laat uitbetalen of gebruikt voor het kopen van extra vakantie-uren of inzet voor fiscaal vriendelijke doelen. met het ikb-spaarverlof kun je verlof sparen voor bijvoorbeeld het nemen van een sabbatical ruim 5 weken vakantie flexibele werktijden. 4 x 9 uur behoort tot de mogelijkheden de mogelijkheid om thuis te werken een goede reiskostenregeling, ook al werken we nu voornamelijk vanuit huis. voor de volle 100% als je met het openbaar vervoer reist, of kies voor een (elektrische) â€fiets van de zaakâ€™ of een reiskostenvergoeding een vergoeding van 45 euro bruto per maand op je zorgverzekering collectiviteitskortingen bij ziektekosten- en/of arbeidsongeschiktheidsverzekering volop ontwikkelmogelijkheden een persoonlijk opleidingsbudget van 3.000 euro per 3 jaar een opleidingsbudget per afdeling een solide pensioenregeling bij abp jouw werkomgeving van kinderbijslag tot aow-pensioen: wij betalen namens de overheid de volksverzekeringen uit. elk jaar gaat het om 50 miljard euro die we overmaken aan zo'n 5,7 miljoen klanten. op tijd, eerlijk en efficiă«nt. thuis werken of op kantoor? bij de svb noemen we dit 'bewust werken'. dit gaat verder dan alleen een afweging maken tussen werken op kantoor of thuis (hybride). met bewust werken maak je in overleg met je team en leidinggevende een professionele en bewuste afweging over hoe, waar, wanneer, met wie en met welke middelen jij jouw resultaten optimaal kunt behalen, zowel kwalitatief als kwantitatief. hierin staat niet alleen het klantbelang voorop maar worden ook de belangen van onze organisatie, de teams en de medewerkers meegewogen. er is geen dicht getimmerd plan, maar we willen bewust werken realiseren door te experimenteren en te leren. wanneer werken op locatie aan de orde is, is jouw werkplek amstelveen. vind je het lastig? kijk ter inspiratie naar vacatures die nu op de website staan. meer weten ? wil je eerst nog meer informatie? met jouw inhoudelijke vragen over de functie en het team kan je terecht bij leonie da costa, recruiter, via 06-50076808 solliciteren: jij pakt deze kans graag! opmerking acquisitie en vog acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld. over de sollicitatieprocedure gesproken: een vog-screening maakt onderdeel uit van de procedure.""",/jobs/view/3445186277/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=u2%2BvBQ2orqrriCGhoKytBQ%3D%3D&trk=d_flagship3_search_srp_jobs,Government Administration,"1,001-5,000 employees",Informatieanalyst,Informatieanalyst,['3 jaar'],3 jaar,[]
117,Reporting En Data Analyst,MN,The Hague, South Holland,On-site,Full-time,Mid-Senior level,"1,001-5,000 employees",Financial Services,"""mag moet be able to write and speak dutch fluently is mandatory for this position! hbo/wo, relevante werkervaring is welkom, een (hele) talentvolle starter ook; aantoonbare interesse of ervaring in asset management is een pră©; ervaring met python of affiniteit met programmeren is een pră©; communicatief sterk en gedreven om zaken te verbeteren; je kunt solo prima uit de voeten, maar in een team nog veel beter. jouw werkomgeving een marktconform salaris; goede secundaire arbeidsvoorwaarden, zoals een 13e maand, pensioenregeling en collectieve ziektekostenverzekering; voldoende mogelijkheden om je verder te ontwikkelen dankzij opleidings- en cursusmogelijkheden; flexwerken behoort tot de mogelijkheden. zowel qua werktijden als thuiswerken passend binnen de huidige realiteit; moderne werkomgeving mă©t uitzicht op de haagse skyline voor als je op kantoor werkt; extra faciliteiten, zoals een in-house sportschool en bedrijfsrestaurant. contact""",/jobs/view/3430339241/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=aaax5ezhQN8NNG4ldndYQg%3D%3D&trk=d_flagship3_search_srp_jobs,Financial Services,"1,001-5,000 employees",Reporting En Data Analyst,Data Analyst,[],,['python']
118,Data Analyst Fulltime/Parttime Rotterdam,100%EMAIL,Rotterdam, South Holland,On-site,Full-time,Mid-Senior level,11-50 employees,Advertising Services,"""learn more functie-eisen wat zoeken wij in een collega? flexibel en een echte pionier overtuigend, inspirerend en sterk in communicatie op alle functieniveaus een aantal jaren aantoonbare ervaring als data analist zelfstandig in het kiezen van databron, analyse en presentatievorm van data. kennis van tools als powerbi, excel, clickview, sas, tableau of google data studio ervaring in sql, e/o python is een pră© nauwkeurig commercieel inzicht functie-voorstel over 100%email 100%email is een jong, maar zeer ervaren bedrijf dat klanten als abn amro, t-mobile, mollie, carglass, nrc, score en vele anderen helpt hun e-mail marketing automation te optimaliseren in de breedste zin van het woord. we zijn niet alleen de â€e-mailmarketingafdeling' van onze klanten, maar we denken ook mee over de strategie, roadmap en implementatie. daarnaast ontwikkelen we concepten en interactieve campagnes, zodat onze klanten blijven opvallen. wat bieden wij direct een vast contract een inspirerende, snelgroeiende omgeving, waarin je kunt laten zien dat het anders kan en je wordt uitgedaagd de lat hoger te leggen bij onze diverse a-merk klanten de mogelijkheid om jezelf continu te blijven ontwikkelen een enthousiast team met gedreven professionals waarin iedereen van elkaar kan leren een salaris tussen de 3500-4500 op basis van 40 uur per week, afhankelijk van je opleiding en werkervaring. met extra benefits, zoals een pensioenregeling, reiskostenvergoeding, een unieke bonusstructuur en een royale vergoeding voor je thuiswerkplek flexibele werkplekken, werktijden en parttime mogelijkheden 50% korting op een onefit sportabonnement via 100%email een gezellige werksfeer, regelmatig uitjes, vrijdagmiddagborrels en een gezonde dosis fun! 5cd8a0b9cc68f9ffa4c9253553278a55wer""",/jobs/view/3452174632/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=AmKhLUMLcrD3ITFRodyhDw%3D%3D&trk=d_flagship3_search_srp_jobs,Advertising Services,11-50 employees,Data Analyst Fulltime/Parttime Rotterdam,Data Analyst,[],,"['tableau', 'python']"
119,Business Data Analyst,Levy Search,Amsterdam, North Holland,Hybrid,Full-time,Mid-Senior level,11-50 employees,Staffing and Recruiting,"""as a business data analyst, you will gather and integrate data for the modelling teams that help set up the data models to report on sunstainable finance reporting. as the awareness of the need for a sustainable world is growing, the bank has set some challenging goals in this area and make its data collection processes future proof. the job: inventory of the playing field with all stakeholders and parties involved collection of data requirements gap analysis of the data requirements for regulation and data already available planning of the delivery of required data actual delivery of dataset to consumers your working environment given the importance the regulatory authorities ascribe to modelling and the data underpinning it, this is a challenging and impactful role. the sustainable finance regulation is new and this is a great chance to get acquainted with this new development. relevant knowledge, skills you also have the following qualifications and skills: experience in sql and python experienced in working with data, preferable within finance & risk the ability to detail and challenge data requirements excellent verbal and written communications skills good stakeholder management skills interest in working with finance and risk data in a banking environment knowledge of risk management in banking or financial institutions is a pre tel: +31657840635 e-mail: a.bosschart@levy-professionals.com website: www.levy-professionals.com about us! since 2000 levy provides professional solutions to organizations ranging from tech start-ups to global players. from our offices in the uk and amsterdam we have built an international local network of skilled employed professionals and contractors fuelled by our passion for connecting skills with projects. over the years we have fulfilled over 1700 requirements and nowadays we consistently have 250+ professionals recruited and relocated from 14 countries allocated to various projects. our strength is the way that we see and treat people. this will always be a key factor in our strategy for many years to comeâ€¦multiplying by unity.""",/jobs/view/3452050352/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=BeW%2FPWwX3OUhQA6lIgmtpw%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,11-50 employees,Business Data Analyst,Data Analyst,[],,"['sql', 'python']"
120,Informatie Analyst,Openbaar Ministerie,Utrecht, Utrecht,On-site,Full-time,Mid-Senior level,"1,001-5,000 employees",Law Enforcement,"""wat ga je doen? als informatie-analist ga jij samen met iv vraag en de business aan de slag om de bedrijfsprocessen en de informatiebehoefte te analyseren, je inventariseert de requirements en vertaalt die naar user stories. daarnaast stel je aanvullende functionele specificaties op die passen binnen de gestelde architectuurkaders en beoordeel je functionele- en technische ontwerpen. wie ben jij? je beschikt over een afgeronde hbo-/wo-opleiding, aangevuld met training/ervaring op het vlak van informatieanalysemethoden- en technieken en functioneel ontwerpen; je bent bekend met een agile/scrum manier van werken en met de product owner rol en hoe informatie- analist en product-owner samenwerken en je bent bekend met het opstellen van procesmodellen en user stories; je gaat deel uit maken van ăâ©ăâ©n of meerdere ontwikkelteams die zich bezighouden met alle ins & outs van meerdere informatiesystemen. daarin zitten niet alleen ită˘â‚¬â„˘ers, zoals ontwerpers, ontwikkelaars, testers, architecten en beheerders, ook de product owner is onderdeel van je team; je werkt dus heel nauw samen met de business, je kunt je gemakkelijk bewegen binnen de verschillende onderdelen van de organisatie en maakt jezelf snel wegwijs in de verschillende bedrijfsprocessen; je vindt het leuk om te werken in een bestuurlijke en complexe omgeving, je kunt snel schakelen tussen strategie en uitvoering en de vertaling maken. je hebt een verbindende en dienstverlenende manier van werken. waar kom je te werken? je gaat aan de slag bij het productie huis. daar worden de applicaties ontwikkeld die voor het openbaar ministerie belangrijk zijn en die de collegaâ€™s gaan helpen hun werk nog beter uit te voeren. in het productiehuis werken we via de scrum methodiek samen in teams met o.a. frontend-, en backend-ontwikkelaars, testers, de scrummaster, een informatieanalist en natuurlijk de product-owner. kennis van scrum, agile of devops is dan ook een pre. overige arbeidsvoorwaarden naast het salaris ontvang je een individueel keuzebudget (ikb) van 16,37% van je jaarsalaris en ikb-uren. met ikb kun je een deel van je arbeidsvoorwaarden zelf samenstellen. de rijksoverheid hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden. tot de secundaire arbeidsvoorwaarden behoren ook onder meer maximaal 60% betaald ouderschapsverlof (onder voorwaarden), studiefaciliteiten, een extra verlofregeling voor ouderen en een vergoeding woon-werkverkeer. bovendien kun je je arbeidsvoorwaardenpakket deels zelf samenstellen. werken bij het openbaar ministerie het openbaar ministerie (om) zorgt voor opsporing en vervolging van strafbare feiten. bij het om werken ruim vijfduizend medewerkers met diverse (culturele) achtergronden, opleidingen en kwaliteiten. het is belangrijk dat alle collegaâ€™s zich bij het om thuis voelen en gerespecteerd en gewaardeerd worden. ook in talent en groei. lees hier meer. meer informatie voor meer informatie over deze functie kun je contact opnemen met marcel van hattum, teamleider, via telefoonnummer 06 - 53397449 sollicitatiewijze je kan je sollicitatiebrief en cv uploaden tot en met 15-2-2023 o.v.v. vacaturenummer om-1296 via de knop solliciteer hieronder.""",/jobs/view/3449258884/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=kmmvxlv%2BVvG7mjo%2B1v7Uew%3D%3D&trk=d_flagship3_search_srp_jobs,Law Enforcement,"1,001-5,000 employees",Informatie Analyst,Informatie Analyst,[],,[]
121,Data Analyst (Marketing Sciences),Mediabrands,Amsterdam, North Holland,Hybrid,Full-time,Entry level,"10,001+ employees",Advertising Services,"""word jij enthousiast van data visualisatie, web analytics en digital marketing? dan ben jij misschien wel de perfecte nieuwe collega voor ons team! mediabrands marketing sciences het meetbaar maken en optimaliseren van campagnes op business kpiâ€™s is een belangrijke doelstelling voor ăˇlle klanten van mediabrands. dit is wat we onder andere mogelijk maken en propageren. meer over marketing sciences: www.marketingsciences.nl. key responsibilities onze klanten maken gebruik van talloze platformen om hun marketingactiviteiten in te zetten, waar een walhalla aan data door ontstaat. tegelijkertijd is die hoeveelheid aan data ook iets waar men regelmatig het overzicht in verliest. jij als data analist begrijpt de meerwaarde van de data en weet dit te visualiseren en analyseren zodat onze klanten en collega's het overzicht weer hebben en hier strategische beslissingen op kunnen nemen. je signaleert kansen in het verrijken van de data en je werkt graag samen met de technische webanalisten om dit meetbaar te maken. ook de samenwerking met andere leden van marketing sciences, de labels binnen mediabrands en product development is cruciaal. desired skills & experience je bent nauwkeurig, creatief en gaat geen data-uitdaging uit de weg. je bent nieuwsgierig en bent scherp op het testen van de kwaliteit van de data. efficiă«ntie is jou met de paplepel ingegoten en je nekharen gaan overeind staan van handmatige oplossingen. deadlines stellen, maar ook ad-hoc werkzaamheden uitvoeren draai jij je hand niet voor om. verder heb je hbo - of wo diploma; 0-2 jaar ervaring als data analist / web analist; goede beheersing van de nederlandse taal; ervaring met power bi of andere data visualisatietools; ervaring met marketing platformen zoals google analytics is een pre; kennis van tagmanagement tools is een pre; goede beheersing van de engelse taal is een pre. ben jij wie we zoeken? druk op apply en laat hier je cv achter. heb je liever persoonlijk contact? mail/ bel dan naar anna.heijning@mbww.com/ +31617411572 about us mediabrands is de wereldwijde mediaholding waar alle mediabedrijven van interpublic group (nyse:ipg) onder vallen. het bedrijf heeft wereldwijd meer dan 13.000 marketingexperts in dienst in meer dan 130 landen. diversiteit en inclusiviteit is daarbij prioriteit. wij adviseren onze klanten hoe ze media en content op de best mogelijke manier kunnen gebruiken om hen te helpen hun marketing- en communicatiedoelstellingen te bereiken. in nederland zijn dat full service media en consultancybureaus initiative en um, het digital marketingmerk reprise en het full service social en contentmarketingbureau yune. specialistische labels in nederland zijn magna (buying en planning), matterkind (addressable specialisten), orion (trading & capital), rapport (ooh-specialisten), mediabrands marketing sciences (data-, onderzoek- en tech specialisten) en ten slotte ontwikkelt bgenius marketingtechnologie. onze kantoren staan in amsterdam en groningen. mediabrands heeft â€challengenâ€™ in hun dna zitten. we zijn een bedrijf van challengers. we zijn niet de grootste, maar we zijn er voor merken en marketeers die verrast, uitgedaagd en geprikkeld willen worden om zodoende niet stil te komen staan. daarnaast hebben de mediabrands labels â€samenâ€™ in hun dna zitten. wij zijn ă©ă©n familie, wij vormen ă©ă©n huis. wij geloven in het feit dat we samen groter en krachtiger zijn en over meer kennis beschikken. wij zijn â€the house of challengers!â€™""",/jobs/view/3327831134/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=Ylaa7FQ6qTJY56Rzp28iAQ%3D%3D&trk=d_flagship3_search_srp_jobs,Advertising Services,"10,001+ employees",Data Analyst,Data Analyst,['0-2 jaar'],0-2 jaar,['power bi']
122,Experienced Quantitative Researcher,Optiver,Amsterdam, North Holland,Hybrid,Full-time,Mid-Senior level,"1,001-5,000 employees",Capital Markets,"""who we are: optiver is a tech-driven trading firm and leading global market maker. as one of the oldest market making institutions, we are a trusted partner of 50+ exchanges across the globe. our mission is to constantly improve the market by injecting liquidity, providing accurate pricing, increasing transparency and acting as a stabilising force no matter the market conditions. with a focus on continuous improvement, we participate in the safeguarding of healthy and efficient markets for everyone who participates. what you'll do: when it comes to solving a complex problem, thereâ€™s no stone you wonâ€™t leave unturned. itâ€™s this kind of energy thatâ€™ll see you shine on one of the most dynamic and exciting trading floors in europe. as optiver's senior quantitative researcher, youâ€™ll be instrumental in the success of the trading floor. with your knowledge of statistics and top-tier analytical abilities, youâ€™ll develop the insights, reports and proposals that will drive our most impactful new trading strategies. who you are: optiver's success has been founded on the collaborative nature throughout our trading floor. we look for people who thrive in team environments, love to be challenged daily and are intuitively strong. experience working in trading/finance environments. the more relevant to options market making the better, but at the very least you have worked in quantitative research roles within finance. deep quantitative research and modelling skills. you have lived and breathed math and stats for much of your career. you have a passion for solving math problems and you have the skills to make it happen. a track record of successful leadership of research projects. you will be able to demonstrate that you have effectively interacted with various teams and added significant value to businesses that you supported. you enjoy mentoring others, sharing your knowledge and helping them improve. what you'll get: the chance to further your career working alongside best-in-class professionals from over 40 different countries. our performance based bonus structure is unmatched anywhere in the industry. we combine our profits across desks, teams and offices into a global profit pool fostering a truly collaborative environment to work in. alongside this you will get great secondary benefits such as 25 paid vacation days, fully paid first-class commuting expenses, training opportunities, discounts on health insurance, breakfast and lunch facilities, sports and leisure activities, friday afternoon drinks and even weekly in-house chair massages. being highly international, we are accustomed to guiding expats through their relocation, offering competitive relocation packages and providing visa sponsorship where necessary. how to apply: are you interested in furthering your career on one of the most dynamic and exciting trading floors in europe? apply directly via the form below for the position of senior quantitative researcher. please provide us with a cv and letter of motivation in english. applications without a letter of motivation will not be reviewed. when we think there is a potential match, you will hear from us sooner than you expect. if you have any questions feel free to contact cameron marett on cameronmarett@optiver.com. please note, we cannot accept applications via email for data protection reasons. diversity statement: as an intentionally flat organisation, we believe that great ideas and impact can come from everyone. we are passionate about empowering individuals and creating diverse teams that thrive. every person at optiver should feel included, valued and respected, because we believe our best work is done together. more information on how optiver europe processes your personal data can be found in our privacy policy.""",/jobs/view/3436112928/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=4nNqwVtnj5StzrJHXVfJMQ%3D%3D&trk=d_flagship3_search_srp_jobs,Capital Markets,"1,001-5,000 employees",Experienced Quantitative Researcher,Experienced Quantitative Researcher,[],,[]
123,Informatie Analyst,VITO,Amsterdam, North Holland,On-site,Full-time,Mid-Senior level,11-50 employees,Staffing and Recruiting,"""ben jij een ervaren informatie analist en op zoek naar een uitdagende baan bij een grote organisatie? weet jij heel duidelijk waar je kracht ligt en werk je goed in teamverband? woon je in de regio van amsterdam? dan is deze functie als informatie analist wat voor jou en kom ik graag met jou in contact! neem contact op met ruben wonink via het nummer: 06- 835 953 76 of stuur een mail met jouw belangstelling: r.wonink@vito.nl. functie omschrijving een greep uit jouw taken en verantwoordelijkheden als informatie analist: inventarisatie van de huidige it-systemen; een analyse van de klanteisen; stel je vast of er it innovaties nodig zijn voor de klantbehoefte zodat het wel/of niet in scope genomen kan worden; leg je jouw ontwerpen vast in de architectuur repository; afstemmen met verschillende partijen over acceptatiecriteria, waaronder beheer, operatie en security; bijdragen aan en opstellen van oplever protocollen en bijbehorende checklists; opstellen van oplever rapportages; analyseren en inzichtelijk maken van de onderlinge afhankelijkheden tussen de verschillende projecten tijdens oplevering. functie eisen als informatie analist neem je mee als informatie analist ben je samen met de design lead het inhoudelijke geweten van de it projectmanager; je brengt naast een afgeronde hbo studie ook ervaring mee in it- projecten (en bouw); je hebt inmiddels 5 jaar aantoonbare, relevante werkervaring op je cv staan; wij kunnen jou omschrijven als energiek, pragmatisch, resultaatgericht, proactief, analytisch, communicatief; je bent tenminste 32-36 uur beschikbaar. aanbod wij bieden jou o.a. als informatie analist een bovengemiddeld arbeidsvoorwaardenpakket; een opleidingstraject op maat plus doorgroeimogelijkheden in jouw vakgebied; een inspirerende en uitdagende werkomgeving; leuke, leergierige en professionele collegaâ€™s; de mogelijkheid om mee te bouwen aan een groeiende organisatie; goed balans tussen werk en privă©; interessante projecten bij verschillende organisaties. solliciteren bij wil jij een baan met kansen om je verder te ontwikkelen bij een groeiend bedrijf? neem contact op met ruben wonink via het nummer: 06- 835 953 76 of stuur ruben een mail met jouw belangstelling: r.wonink@vito.nl. hij vertelt je graag meer!""",/jobs/view/3450933037/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=HYuWb0niH2QlC8NvwyDy4Q%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,11-50 employees,Informatie Analyst,Informatie Analyst,['5 jaar'],5 jaar,[]
124,Informatie Analyst,,Amsterdam, North Holland,Hybrid,Full-time,Mid-Senior level,See how you compare to 4 applicants.,See how you compare to 4 applicants.,"""ben je goed met het in kaart brengen van de behoeften wat stakeholdes en deze te vertalen naar oplossingen? vragen vanuit de business helder krijgen? kom jij ons development team versterken? wij zoeken een information analyst. wat ga je doen? als information analyst verbind jij gebruikers met technologie door functionele behoeften in kaart te brengen en deze te vertalen naar technische oplossingen. jij zorgt ervoor dat de functionele wensen zijn vertaald naar technische beschrijvingen ten behoeve van de devops teams. dat de business wensen zijn beschreven in userstories, de technische specificaties zijn beschreven in requirements, change werkzaamheden zijn uitgevoerd binnen scope, tijd, budget & kwaliteit. naast bovenstaande resultaten draag jij als senior bij aan het verhogen van de kennis binnen het team, waardoor de kwaliteit en snelheid van de opleveringen wordt gewaarborgd. je rapporteert aan de development manager. enkele van jouw werkzaamheden: de behoeften van stakeholders in kaart brengen en vertalen naar userstories/requirements met de business & developers de wensen beschrijven, alsook de aanpassingen doorvoeren deelnemen binnen de it teams vragen vanuit de business helder krijgen opstellen van it requirements, het prioriteren hiervan en testen bij oplevering formuleren van voorstellen op wijzigingen of verbeteringen binnen de systemen - analyseren en adviseren opstellen van user stories & non-functional requirements eerste t-shirtsize inschatting opvolging & continuăżteit van de backlog items splitsen van taken, controleren of aangeleverde user stories compleet zijn ontwikkelen, opstellen en toetsen van een technisch design uitwerken van detailontwerpen en ondersteunen bij de realisatie daarvan acceptatie & test criteria vaststellen definition of ready bewaken binnen de sprints fungeert als eerste aanspreekpunt v.w.b.t. de aanvragen m.b.t. tot informatieanalyse binnen de overige (it) teams plant en coă¶rdineert de activiteiten op gebied van informatieanalyse jij brengt mee: hbo werk- en denkniveau minimaal 3 jaar werkervaring als analyst, tester en/of ontwikkelaar een brede interesse in en affiniteit met ict, waarbij je klantvragen eenvoudig vertaalt naar oplossingen affiniteit met agile en het werken met agile teams, liefst onderbouwd met een scrum certificering ervaring in informatieanalyse en het uitwerken van userstories domain driven design is een pră© kennis van het leaseproces is een pră© beheersing van de nederlandse en engelse taal in woord en geschrift tussen de 32-40 uur beschikbaar jij krijgt: een marktconform salaris een aantrekkelijke bonusregeling maar liefst 32 vakantiedagen bij een fulltime dienstverband, plus een extra vrije dag voor niet rokers een goede pensioenregeling en een reiskostenvergoeding (vanaf 10 km) van 0,21 eurocent per km en ov wordt volledig vergoed in eerste instantie een contract van 1 jaar een mooie functie bij een internationale speler met groeiambities wij hebben het hybride werken omarmt. gedurende de week ben je minimaal 2 dagen op kantoor om met je collega's samen te werken, te leren van elkaar en successen te vieren, de andere dagen werk je eventueel vanuit een andere gekozen locatie heb je interesse of wil je meer weten? neem contact op met stanley waccary at stanley@hetsourcinghuis.nl""",/jobs/view/3442164240/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=IbtbOiMYx0Hk%2BXNBKLV9DA%3D%3D&trk=d_flagship3_search_srp_jobs,See how you compare to 4 applicants.,,Informatie Analyst,Informatie Analyst,"['3 jaar', '1 jaar']","3 jaar,1 jaar",[]
125,Journey Analytics Consultant,Genesys,Netherlands,Netherlands,Remote,Full-time,Mid-Senior level,"5,001-10,000 employees",Software Development,"""we are looking for a talented journey analytics consultant who has demonstrated success independently crafting and delivering data-driven answers to complex customer experience problemsâ€”preferably in a high-velocity, client-facing environment. you will work directly with genesys customers, plan and spearhead their adoption of the platform, and guide them to problem-solving excellence. you are a great fit for this role if you naturally turn to data to answer difficult challenges. you love that feeling of generating surprise and excitement during executive presentations. you are passionate about telling compelling stories which combine strategic thinking with data and visualizations. you enjoy delivering clear-cut insights and recommendations via a crystalline storyline, and you know the craft of composing a killer presentation. key responsibilities: the journey analytics consultant role is an integral part of the journey management services team. in this team, we ensure our customers are successful adopters of pointillist through an onboarding and management process that is personalized, efficient, and agile. our mission in journey management services is to closely understand our customersâ€™ aspirations and business challenges and helping them derive the most value from the pointillist platform. work directly with new and existing pointillist customers to understand their most pressing and challenging business questions work with your analytics and insights peers to build repeatable solutions to customerâ€™s journey analytics needs use the pointillist platform to reveal insights and drive critical customer decisionsâ€”coaching pointillistâ€™s customers to do the same for themselves partner with the product team to envision new features to the pointillist platform based on your first-hand understanding of user needs consult with the sales team to develop compelling value propositions based on your understanding of business strategy and pointillist capabilities become a subject matter expert in the growing practice of customer journey analytics act as an ongoing, primary point of contact and trusted advisor for your customers as they deepen their adoption of the pointillist platform minimum requirements: a bachelorâ€™s degree (stem preferred) a relevant master program is a bonus experience as a client-facing analyst or consultant in a top-tier management consultancy or similar high-performance organization experience working in the financial, healthcare/insurance, retail, or telecom space where you have a broad understanding of industry, trends, business models, challenges, opportunities, etc. passion and understanding for cx transformations to enable our customers to become customer-centric demonstrated prowess in finding data-driven solutions to complex business questions a strong ability to craft logical, compelling stories from data visualizations and a track record of successfully delivering those insights to senior executive leadership a passion for new technologiesâ€”specifically those related to data analytics and ai. demonstrated experience managing multiple workstreams and collaborating across teams a desire to work directly with customers to understand their business goals and coach them to success a history of self-led achievements demonstrating creativity, initiative, and drive comfortable with 10-25% travel others describe you as ... an influencer: you have an ability to spot opportunities and influence the larger team to get behind big ideas a self-starter: you have a positive, can-do attitude and sense of urgency to bring projects to closure in a timely manner an expert: you strive to be a customer, product, and competitive expert. sales, marketing, and engineering teams go to you for expertise and recommendations agile: you thrive in fast-paced environments, are adaptable to change, and are undaunted by deadlines metric-driven: you use facts and data to understand what works, make decisions, and maximize results reasonable accommodations: genesys is committed to providing an inclusive barrier-free environment, starting with the hiring process. if you require a reasonable accommodation to complete any part of the application process or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you or someone you know may complete the reasonable accommodations form for assistance. please use the candidate field in the dropdown menu to ensure a timely response. this form is designed to assist job seekers who seek reasonable accommodation for the application process. submissions entered for non-accommodation-related issues, such as following up on an application or submitting a resume, may not receive a response. about genesys: every year, genesysâ® orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. through the power of our cloud, digital and ai technologies, organizations can realize experience as a serviceâ„ , our vision for empathetic customer experiences at scale. with genesys, organizations have the power to deliver proactive, predictive, and hyper personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. by transforming back-office technology to a modern revenue velocity engine genesys enables true intimacy at scale to foster customer trust and loyalty. visit www.genesys.com genesys is an equal opportunity employer committed to diversity in the workplace. we evaluate qualified applicants without regard to race, color, age, religion, sex, sexual orientation, gender identity or expression, marital status, domestic partner status, national origin, genetics, disability, military and veteran status, and other protected characteristics. please note that recruiters will never ask for sensitive personal or financial information during the application phase.""",/jobs/view/3450504096/?alternateChannel=search&refId=3YtrYiFcmnK10Ln9SCOJ6w%3D%3D&trackingId=uvdX77vhtyJifExkfyIxLA%3D%3D&trk=d_flagship3_search_srp_jobs,Software Development,"5,001-10,000 employees",Journey Analytics Consultant,Journey Analytics Consultant,[],,[]
